Background	Year	Meanfit	Stdfit
HK19	1996	-0.23527169832098274	0.00734486718415685
HK19	1997	-0.22698769039297717	0.01042071066549281
HK19	1998	-0.1344352236035025	0.026058369941981685
HK19	1999	-0.14940914425226695	0.015375582558228924
HK19	2000	-0.24463621696890653	0.0025730968893290535
HK19	2001	-0.24383034182107838	0.004453520553787165
HK19	2002	-0.2501349309986846	0.002827697836702832
HK19	2003	-0.2429062817337363	0.002117168720385783
HK19	2004	-0.23696821348496372	0.00331157887329238
HK19	2005	-0.2438060231947669	0.0019946703229060266
HK19	2006	-0.12728740264196461	0.01053615310540723
HK19	2007	0.10784134291684498	0.004236953281015246
HK19	2008	0.13322657185834108	0.0013028641425390118
HK19	2009	0.12922359654859614	0.0012090263713491378
HK19	2010	0.02304182416904432	0.001436244652506158
HK19	2011	0.016830909284273454	0.0010552987351521192
HK19	2012	0.0213373571206409	0.0012110516714268344
HK19	2013	0.011321076805207997	0.0007919421135737611
HK19	2014	0.008723355256834512	0.00045538322678326
HK19	2015	0.007643632599442656	0.00046482436451600247
HK19	2016	0.0030643471816122216	0.0006679316586461908
HK19	2017	-0.004949714150665239	0.0006983377500651605
HK19	2018	0.052224359898997076	0.0020812492950767433
HK19	2019	0.37697789506373275	0.0029844995962073424
HK19	2020	0.5393771596966926	0.0023164675802615185
